"Timestamp","Any feedback?"
"2026/03/03 9:23:16 am CET","Walking us through the course and asking questions at the beginning helps a lot with anxiety and breaking the ice. Sets a great tone for the rest of the course.  "
"2026/03/03 2:00:21 pm CET","Very slow course on very basic Python on HPC, good as a first course."
"2026/03/03 4:06:39 pm CET","Nice Python Introduction course. Richel is a great teacher who puts a lot of efforts to improve it and to explain the topics clearly to us learners. Thanks!"
