time,n_cam_on,n_cam_off
8:44,0,0
8:51,0,1
8:58,3,2
9:21,7,0
9:59,10,1
10:37,10,1
13:21,6,1
14:32,5,1
14:50,4,1
15:16,4,1




