date,n,cumulative
2025-09-11,1,1
2025-09-16,1,2
2025-09-17,1,3
2025-09-18,6,9
2025-09-22,2,11
2025-09-23,2,13
2025-09-24,3,16
2025-09-26,1,17
2025-10-01,1,18
2025-10-02,1,19
2025-10-08,11,30
